trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
3_12_136,intermediate_case2,intermediate_case2/3_12_136.txt,3,B,"[[6, 6], [11, 5], [5, 4]]","[125, 106, 76]","[[9, 7], [6, 2], [8, 5]]","[152, 29, 103]","[[10, 9], [10, 3], [10, 6]]","[201, 57, 129]","[[10, 7], [7, 3], [9, 5]]","[153, 54, 104]"
3_12_137,intermediate_case2,intermediate_case2/3_12_137.txt,3,A,"[[10, 11], [7, 6], [9, 9]]","[249, 126, 200]","[[12, 8], [6, 6], [5, 2]]","[179, 125, 28]","[[12, 9], [7, 6], [10, 7]]","[203, 126, 153]","[[10, 12], [7, 7], [9, 10]]","[273, 150, 224]"
3_12_138,intermediate_case2,intermediate_case2/3_12_138.txt,3,D,"[[5, 5], [1, 8], [6, 6]]","[100, 168, 125]","[[5, 2], [2, 9], [4, 6]]","[28, 193, 123]","[[7, 2], [1, 9], [4, 6]]","[30, 192, 123]","[[8, 2], [2, 10], [5, 6]]","[31, 217, 124]"
3_12_139,intermediate_case2,intermediate_case2/3_12_139.txt,3,C,"[[6, 6], [7, 8], [7, 9]]","[125, 174, 198]","[[5, 3], [6, 6], [6, 5]]","[52, 125, 101]","[[8, 5], [3, 8], [6, 7]]","[103, 170, 149]","[[7, 4], [4, 8], [6, 6]]","[78, 171, 125]"
3_12_14,intermediate_case2,intermediate_case2/3_12_14.txt,3,C,"[[4, 6], [6, 6], [1, 3]]","[123, 125, 48]","[[6, 6], [6, 4], [6, 5]]","[125, 77, 101]","[[10, 8], [5, 6], [8, 7]]","[177, 124, 151]","[[9, 7], [6, 7], [8, 7]]","[152, 149, 151]"
3_12_140,intermediate_case2,intermediate_case2/3_12_140.txt,3,C,"[[3, 1], [6, 6], [9, 12]]","[2, 125, 272]","[[7, 1], [3, 3], [5, 7]]","[6, 50, 148]","[[7, 1], [4, 4], [6, 3]]","[6, 75, 53]","[[8, 2], [4, 3], [6, 3]]","[31, 51, 53]"
3_12_141,intermediate_case2,intermediate_case2/3_12_141.txt,3,C,"[[4, 10], [1, 4], [6, 6]]","[219, 72, 125]","[[3, 9], [2, 7], [3, 8]]","[194, 145, 170]","[[4, 8], [2, 8], [3, 8]]","[171, 169, 170]","[[3, 7], [3, 7], [3, 7]]","[146, 146, 146]"
3_12_142,intermediate_case2,intermediate_case2/3_12_142.txt,3,D,"[[6, 6], [11, 2], [10, 7]]","[125, 34, 153]","[[9, 7], [12, 4], [11, 6]]","[152, 83, 130]","[[10, 6], [10, 1], [10, 4]]","[129, 9, 81]","[[11, 6], [9, 2], [10, 4]]","[130, 32, 81]"
3_12_143,intermediate_case2,intermediate_case2/3_12_143.txt,3,B,"[[7, 9], [6, 6], [10, 10]]","[198, 125, 225]","[[1, 11], [2, 5], [2, 8]]","[240, 97, 169]","[[4, 11], [7, 3], [6, 7]]","[243, 54, 149]","[[1, 10], [3, 5], [2, 8]]","[216, 98, 169]"
3_12_144,intermediate_case2,intermediate_case2/3_12_144.txt,3,A,"[[11, 10], [7, 7], [9, 9]]","[226, 150, 200]","[[12, 7], [5, 1], [6, 6]]","[155, 4, 125]","[[10, 11], [6, 4], [8, 8]]","[249, 77, 175]","[[12, 11], [7, 8], [10, 10]]","[251, 174, 225]"
3_12_147,intermediate_case2,intermediate_case2/3_12_147.txt,3,D,"[[1, 10], [11, 1], [6, 6]]","[216, 10, 125]","[[3, 9], [12, 1], [8, 5]]","[194, 11, 103]","[[1, 12], [12, 2], [6, 7]]","[264, 35, 149]","[[1, 11], [12, 1], [7, 6]]","[240, 11, 126]"
3_12_148,intermediate_case2,intermediate_case2/3_12_148.txt,3,B,"[[6, 6], [10, 7], [8, 11]]","[125, 153, 247]","[[7, 8], [7, 4], [7, 6]]","[174, 78, 126]","[[6, 7], [8, 5], [7, 6]]","[149, 103, 126]","[[7, 9], [7, 5], [7, 7]]","[198, 102, 150]"
3_12_15,intermediate_case2,intermediate_case2/3_12_15.txt,3,C,"[[7, 2], [7, 7], [6, 6]]","[30, 150, 125]","[[10, 2], [6, 7], [8, 5]]","[33, 149, 103]","[[7, 1], [5, 11], [6, 6]]","[6, 244, 125]","[[8, 1], [4, 10], [6, 6]]","[7, 219, 125]"
3_12_150,intermediate_case2,intermediate_case2/3_12_150.txt,3,D,"[[11, 8], [2, 10], [6, 6]]","[178, 217, 125]","[[12, 6], [1, 10], [7, 8]]","[131, 216, 174]","[[12, 8], [2, 11], [7, 10]]","[179, 241, 222]","[[12, 7], [1, 10], [7, 9]]","[155, 216, 198]"
3_12_151,intermediate_case2,intermediate_case2/3_12_151.txt,3,C,"[[6, 6], [2, 11], [7, 6]]","[125, 241, 126]","[[8, 5], [3, 11], [6, 8]]","[103, 242, 173]","[[9, 7], [4, 12], [7, 10]]","[152, 267, 222]","[[9, 6], [3, 12], [6, 10]]","[128, 266, 221]"
3_12_152,intermediate_case2,intermediate_case2/3_12_152.txt,3,D,"[[10, 4], [6, 6], [6, 3]]","[81, 125, 53]","[[10, 3], [4, 5], [7, 4]]","[57, 99, 78]","[[9, 4], [5, 8], [7, 6]]","[80, 172, 126]","[[10, 5], [6, 9], [8, 7]]","[105, 197, 151]"
3_12_153,intermediate_case2,intermediate_case2/3_12_153.txt,3,C,"[[7, 12], [4, 2], [6, 6]]","[270, 27, 125]","[[8, 12], [4, 2], [6, 8]]","[271, 27, 173]","[[5, 12], [4, 1], [5, 7]]","[268, 3, 148]","[[4, 12], [4, 2], [4, 7]]","[267, 27, 147]"
3_12_154,intermediate_case2,intermediate_case2/3_12_154.txt,3,C,"[[6, 6], [6, 11], [3, 8]]","[125, 245, 170]","[[7, 6], [4, 11], [6, 9]]","[126, 243, 197]","[[5, 6], [2, 9], [4, 8]]","[124, 193, 171]","[[6, 7], [3, 8], [5, 8]]","[149, 170, 172]"
3_12_155,intermediate_case2,intermediate_case2/3_12_155.txt,3,A,"[[4, 12], [5, 10], [5, 11]]","[267, 220, 244]","[[5, 12], [6, 6], [6, 4]]","[268, 125, 77]","[[2, 12], [8, 8], [5, 9]]","[265, 175, 196]","[[3, 12], [6, 10], [5, 11]]","[266, 221, 244]"
3_12_157,intermediate_case2,intermediate_case2/3_12_157.txt,3,B,"[[6, 6], [6, 5], [8, 2]]","[125, 101, 31]","[[7, 6], [1, 2], [4, 4]]","[126, 24, 75]","[[7, 4], [3, 4], [5, 4]]","[78, 74, 76]","[[7, 5], [1, 1], [4, 3]]","[102, 0, 51]"
3_12_159,intermediate_case2,intermediate_case2/3_12_159.txt,3,B,"[[11, 8], [9, 7], [6, 6]]","[178, 152, 125]","[[9, 10], [11, 9], [10, 10]]","[224, 202, 225]","[[8, 10], [11, 6], [10, 8]]","[223, 130, 177]","[[8, 10], [12, 10], [10, 10]]","[223, 227, 225]"
3_12_16,intermediate_case2,intermediate_case2/3_12_16.txt,3,A,"[[6, 7], [2, 4], [4, 6]]","[149, 73, 123]","[[6, 6], [10, 3], [12, 11]]","[125, 57, 251]","[[4, 7], [6, 4], [7, 6]]","[147, 77, 126]","[[5, 6], [3, 4], [4, 5]]","[124, 74, 99]"
3_12_160,intermediate_case2,intermediate_case2/3_12_160.txt,3,A,"[[6, 6], [7, 12], [7, 9]]","[125, 270, 198]","[[6, 6], [12, 12], [6, 2]]","[125, 275, 29]","[[6, 5], [11, 12], [9, 7]]","[101, 274, 152]","[[6, 7], [7, 11], [7, 9]]","[149, 246, 198]"
3_12_162,intermediate_case2,intermediate_case2/3_12_162.txt,3,A,"[[7, 5], [1, 6], [4, 6]]","[102, 120, 123]","[[4, 1], [3, 9], [6, 6]]","[3, 194, 125]","[[5, 3], [2, 8], [4, 6]]","[52, 169, 123]","[[6, 4], [1, 7], [4, 6]]","[77, 144, 123]"
3_12_164,intermediate_case2,intermediate_case2/3_12_164.txt,3,A,"[[3, 4], [8, 7], [6, 6]]","[74, 151, 125]","[[3, 3], [6, 6], [10, 3]]","[50, 125, 57]","[[2, 4], [9, 6], [6, 5]]","[73, 128, 101]","[[3, 5], [7, 6], [5, 6]]","[98, 126, 124]"
3_12_165,intermediate_case2,intermediate_case2/3_12_165.txt,3,A,"[[2, 3], [10, 8], [6, 6]]","[49, 177, 125]","[[1, 1], [12, 4], [6, 6]]","[0, 83, 125]","[[3, 2], [11, 6], [7, 4]]","[26, 130, 78]","[[3, 4], [10, 7], [7, 6]]","[74, 153, 126]"
3_12_166,intermediate_case2,intermediate_case2/3_12_166.txt,3,A,"[[6, 2], [3, 10], [5, 6]]","[29, 218, 124]","[[6, 6], [4, 12], [10, 10]]","[125, 267, 225]","[[7, 5], [4, 12], [6, 9]]","[102, 267, 197]","[[7, 3], [3, 11], [5, 7]]","[54, 242, 148]"
3_12_169,intermediate_case2,intermediate_case2/3_12_169.txt,3,C,"[[6, 6], [10, 11], [2, 12]]","[125, 249, 265]","[[2, 5], [10, 9], [6, 7]]","[97, 201, 149]","[[2, 7], [9, 10], [6, 9]]","[145, 224, 197]","[[2, 6], [10, 11], [6, 9]]","[121, 249, 197]"
3_12_17,intermediate_case2,intermediate_case2/3_12_17.txt,3,D,"[[3, 1], [6, 6], [2, 9]]","[2, 125, 193]","[[1, 2], [4, 7], [3, 5]]","[24, 147, 98]","[[2, 3], [6, 4], [4, 4]]","[49, 77, 75]","[[1, 3], [7, 5], [4, 4]]","[48, 102, 75]"
3_12_170,intermediate_case2,intermediate_case2/3_12_170.txt,3,C,"[[4, 6], [6, 6], [7, 9]]","[123, 125, 198]","[[3, 7], [8, 4], [6, 6]]","[146, 79, 125]","[[1, 7], [8, 4], [4, 6]]","[144, 79, 123]","[[1, 7], [7, 3], [4, 5]]","[144, 54, 99]"
3_12_171,intermediate_case2,intermediate_case2/3_12_171.txt,3,B,"[[12, 5], [8, 7], [6, 6]]","[107, 151, 125]","[[11, 4], [12, 3], [12, 4]]","[82, 59, 83]","[[11, 6], [9, 3], [10, 5]]","[130, 56, 105]","[[12, 4], [12, 2], [12, 3]]","[83, 35, 59]"
3_12_172,intermediate_case2,intermediate_case2/3_12_172.txt,3,C,"[[6, 6], [4, 7], [1, 7]]","[125, 147, 144]","[[5, 8], [4, 7], [5, 8]]","[172, 147, 172]","[[6, 9], [3, 9], [5, 9]]","[197, 194, 196]","[[6, 8], [3, 8], [5, 8]]","[173, 170, 172]"
3_12_173,intermediate_case2,intermediate_case2/3_12_173.txt,3,C,"[[1, 1], [6, 6], [5, 6]]","[0, 125, 124]","[[1, 3], [3, 2], [2, 3]]","[48, 26, 49]","[[1, 3], [4, 3], [3, 3]]","[48, 51, 50]","[[2, 4], [5, 3], [4, 4]]","[73, 52, 75]"
3_12_174,intermediate_case2,intermediate_case2/3_12_174.txt,3,C,"[[3, 9], [5, 4], [6, 6]]","[194, 76, 125]","[[4, 8], [2, 6], [3, 7]]","[171, 121, 146]","[[4, 8], [1, 7], [3, 8]]","[171, 144, 170]","[[4, 9], [1, 8], [3, 9]]","[195, 168, 194]"
3_12_175,intermediate_case2,intermediate_case2/3_12_175.txt,3,D,"[[6, 6], [1, 4], [2, 12]]","[125, 72, 265]","[[3, 8], [2, 6], [3, 7]]","[170, 121, 146]","[[2, 8], [2, 8], [2, 8]]","[169, 169, 169]","[[3, 9], [2, 7], [3, 8]]","[194, 145, 170]"
3_12_176,intermediate_case2,intermediate_case2/3_12_176.txt,3,B,"[[11, 1], [6, 6], [1, 12]]","[10, 125, 264]","[[11, 1], [10, 5], [11, 3]]","[10, 105, 58]","[[10, 3], [7, 4], [6, 7]]","[57, 78, 149]","[[11, 2], [9, 6], [10, 4]]","[34, 128, 81]"
3_12_177,intermediate_case2,intermediate_case2/3_12_177.txt,3,B,"[[5, 7], [7, 9], [6, 6]]","[148, 198, 125]","[[4, 6], [5, 7], [5, 7]]","[123, 148, 148]","[[7, 5], [7, 11], [7, 8]]","[102, 246, 174]","[[5, 7], [6, 8], [6, 8]]","[148, 173, 173]"
3_12_178,intermediate_case2,intermediate_case2/3_12_178.txt,3,A,"[[5, 6], [4, 5], [5, 6]]","[124, 99, 124]","[[6, 6], [6, 2], [8, 6]]","[125, 29, 127]","[[5, 6], [4, 2], [5, 4]]","[124, 27, 76]","[[4, 7], [3, 4], [4, 6]]","[147, 74, 123]"
3_12_179,intermediate_case2,intermediate_case2/3_12_179.txt,3,A,"[[2, 2], [4, 11], [3, 7]]","[25, 243, 146]","[[1, 2], [6, 6], [9, 8]]","[24, 125, 176]","[[3, 3], [6, 9], [5, 6]]","[50, 197, 124]","[[3, 2], [4, 10], [4, 6]]","[26, 219, 123]"
3_12_18,intermediate_case2,intermediate_case2/3_12_18.txt,3,D,"[[12, 11], [4, 6], [6, 6]]","[251, 123, 125]","[[11, 10], [2, 6], [7, 8]]","[226, 121, 174]","[[11, 9], [3, 4], [7, 7]]","[202, 74, 150]","[[12, 10], [3, 5], [8, 8]]","[227, 98, 175]"
3_12_180,intermediate_case2,intermediate_case2/3_12_180.txt,3,D,"[[10, 1], [7, 7], [6, 6]]","[9, 150, 125]","[[11, 1], [9, 5], [10, 3]]","[10, 104, 57]","[[9, 1], [9, 3], [9, 2]]","[8, 56, 32]","[[8, 2], [10, 3], [9, 3]]","[31, 57, 56]"
3_12_181,intermediate_case2,intermediate_case2/3_12_181.txt,3,B,"[[6, 6], [9, 10], [5, 11]]","[125, 224, 244]","[[5, 7], [12, 12], [9, 10]]","[148, 275, 224]","[[6, 7], [11, 12], [9, 10]]","[149, 274, 224]","[[4, 7], [12, 12], [9, 10]]","[147, 275, 224]"
3_12_182,intermediate_case2,intermediate_case2/3_12_182.txt,3,D,"[[4, 9], [6, 6], [7, 10]]","[195, 125, 222]","[[2, 10], [6, 7], [4, 9]]","[217, 149, 195]","[[3, 9], [6, 9], [5, 9]]","[194, 197, 196]","[[4, 8], [7, 8], [6, 8]]","[171, 174, 173]"
3_12_184,intermediate_case2,intermediate_case2/3_12_184.txt,3,A,"[[4, 6], [11, 10], [8, 8]]","[123, 226, 175]","[[6, 6], [11, 11], [6, 4]]","[125, 250, 77]","[[7, 7], [8, 10], [8, 9]]","[150, 223, 199]","[[5, 5], [10, 9], [8, 7]]","[100, 201, 151]"
3_12_185,intermediate_case2,intermediate_case2/3_12_185.txt,3,D,"[[2, 4], [6, 6], [1, 10]]","[73, 125, 216]","[[2, 5], [5, 6], [4, 6]]","[97, 124, 123]","[[2, 3], [2, 6], [2, 5]]","[49, 121, 97]","[[2, 2], [1, 7], [2, 5]]","[25, 144, 97]"
3_12_186,intermediate_case2,intermediate_case2/3_12_186.txt,3,B,"[[1, 3], [1, 8], [6, 6]]","[48, 168, 125]","[[3, 2], [3, 6], [3, 4]]","[26, 122, 74]","[[2, 1], [1, 7], [2, 4]]","[1, 144, 73]","[[3, 3], [2, 6], [3, 5]]","[50, 121, 98]"
3_12_187,intermediate_case2,intermediate_case2/3_12_187.txt,3,B,"[[6, 6], [10, 4], [2, 12]]","[125, 81, 265]","[[5, 8], [11, 4], [8, 6]]","[172, 82, 127]","[[5, 8], [9, 5], [7, 7]]","[172, 104, 150]","[[6, 9], [10, 5], [8, 7]]","[197, 105, 151]"
3_12_188,intermediate_case2,intermediate_case2/3_12_188.txt,3,A,"[[12, 5], [5, 1], [9, 3]]","[107, 4, 56]","[[11, 6], [6, 6], [9, 8]]","[130, 125, 176]","[[12, 4], [7, 5], [10, 5]]","[83, 102, 105]","[[11, 5], [5, 2], [9, 4]]","[106, 28, 80]"
3_12_19,intermediate_case2,intermediate_case2/3_12_19.txt,3,A,"[[9, 10], [11, 8], [10, 9]]","[224, 178, 201]","[[6, 6], [8, 11], [3, 9]]","[125, 247, 194]","[[9, 7], [11, 9], [8, 8]]","[152, 202, 175]","[[8, 9], [12, 9], [10, 9]]","[199, 203, 201]"
